0,區塊,子系統,用戶執行動作,計算條件,事件名稱（中文）,事件名稱（英文）,參數群組,參數,參數名稱（英文）,參數事件名稱,觸發點(按鍵/區塊),備註,iOS,Android
,貼文、聊天共用功能,表情符號,表情符號,用戶點擊算一次,表情符號_現有的表情_點擊,Emoticon_ExistingEmoticon_clicked,,,,,,,TRUE,FALSE
,,,,,,,,,,,,,TRUE,FALSE
,,,,,表情符號_新增表情_點擊,Emoticon_AddEmoticon_clicked,,,,,,,TRUE,FALSE
,,,,,,,,,,,,,TRUE,FALSE
,搜尋貼文or訊息,內容搜尋,搜尋特定內容,用戶點擊算一次,內容搜尋_點擊,ContentSearch_clicked,,,,,,,TRUE,FALSE
,,,,,內容搜尋_搜尋_點擊,ContentSearch_Search_clicked,,,,,,,TRUE,FALSE
,,,,,內容搜尋_全部_點擊,ContentSearch_All_clicked,,,,,,,TRUE,FALSE
,,,,,內容搜尋_貼文_點擊,ContentSearch_Post_clicked,,,,,,,TRUE,FALSE
,,,,,內容搜尋_聊天_點擊,ContentSearch_Chat_clicked,,,,,,,TRUE,FALSE
,,,,,內容搜尋_查看_點擊,ContentSearch_View_clicked,from,全部,All,,,,TRUE,FALSE
,,,,,,,,貼文,Post,,,,TRUE,FALSE
,,,,,,,,聊天,Chat,,,,TRUE,FALSE
,,,,頁面出現算一次,內容搜尋_全部_觀看,ContentSearch_All_viewed,,,,,,,TRUE,TRUE
,,,,,內容搜尋_聊天_觀看,ContentSearch_Chat_viewed,,,,,,,TRUE,TRUE
,,,,,內容搜尋_貼文_觀看,ContentSearch_Post_viewed,,,,,,,TRUE,TRUE
探索社團,探索社團頁,搜尋,點擊該按鈕,用戶點擊按鈕算一次,探索社團_搜尋_點擊,ExploreGroup_Search_clicked,,,,,點擊該按鈕,,FALSE,FALSE
,,熱門社團頁,,,探索社團_熱門社團_點擊,ExploreGroup_PopularGroups_clicked,,,,,,,TRUE,FALSE
,,最新社團頁,,,探索社團_最新社團_點擊,ExploreGroup_NewestGroups_clicked,,,,,,,TRUE,FALSE
,,熱門社團頁,觀看探索社團頁,頁面出現算一次,探索社團.熱門社團_觀看,ExploreGroup.PopularGroups_viewed,,,,,,,TRUE,TRUE
,,最新社團頁,,,探索社團.最新社團_觀看,ExploreGroup.NewestGroups_viewed,,,,,,,TRUE,TRUE
,,加入社團,加入公開社團,用戶點擊加入公開社團算一次,社團_加入_點擊,Group_Join_clicked,from,尚未加入任何社團的畫面,NonGroup,,加入公開社團,,TRUE,FALSE
