用戶行為,區塊,子系統,用戶執行動作,計算條件,事件名稱（中文）,事件名稱（英文）,參數群組,參數,參數事件名稱,觸發點(按鍵/區塊),備註,iOS,Android
,,,,,貼文.空白貼文_修改_點擊,Post.BlankPost_Edit_clicked,,,,,,FALSE,FALSE
,,頁面觀看,觀看貼文區頁面,頁面出現算一次,貼文牆,PostWall_Viewed,,,,,,TRUE,FALSE
,,,,,貼文.內頁_觀看,Post.InnerPage_Viewed,viewed_from,,,,,FALSE,FALSE
,,,,,發表貼文_觀看,PublishPost_Viewed,, ,,,,TRUE,FALSE
,,,,,編輯貼文_觀看,EditPost_Viewed,,,,,,FALSE,FALSE
,,,,,貼文.圖片_觀看,Post.Image_Viewed,,,,,,TRUE,FALSE
,聊天區,聊天區按鈕,傳訊息,用戶點擊按鈕算一次,訊息_開啟鍵盤_點擊,Message_OpenKeyboard_clicked,,,,,,FALSE,FALSE
,,,,,訊息_插入圖片_點擊,Message_InsertImage_clicked,,,,,,FALSE,FALSE
,,,,,訊息_圖片_點擊,Message_Image_clicked,,,,,,FALSE,FALSE
,,,,,訊息_傳送鍵_點擊,Message_SendButton_clicked,,,,,,FALSE,FALSE
,,常壓訊息按鈕 & 衍伸彈窗,長壓訊息,,訊息_常壓訊息_點擊,Message_LongPressMessage_clicked,,,,,,FALSE,FALSE
,,,,,訊息.常壓訊息_表情符號_點擊,Message.LongPressMessage_Emoji_clicked,,,,,,FALSE,FALSE
,,,,,訊息.常壓訊息_回覆_點擊,Message.LongPressMessage_Reply_clicked,,,,,,FALSE,FALSE
,,,,,訊息.常壓訊息_複製訊息_點擊,Message.LongPressMessage_CopyMessage_clicked,,,,,,FALSE,FALSE
,,,,,訊息.常壓訊息_置頂訊息_點擊,Message.LongPressMessage_PinMessage_clicked,,,,,,FALSE,FALSE
,,,,,訊息.常壓訊息_檢舉_點擊,Message.LongPressMessage_Report_clicked,,,,,,FALSE,FALSE
,,,,,檢舉_確定檢舉_點擊,Report_ConfirmReport_clicked,,,,,,FALSE,FALSE
,,,,,檢舉_取消_點擊,Report_Cancel_clicked,,,,,,FALSE,FALSE
,,,,,檢舉原因_濫發廣告訊息_點擊,ReportReason_Spam_clicked,,,,,,FALSE,FALSE
,,,,,檢舉原因_傳送色情訊息_點擊,ReportReason_SexualContent_clicked,,,,,,FALSE,FALSE
,,,,,檢舉原因_騷擾行為_點擊,ReportReason_Harassment_clicked,,,,,,FALSE,FALSE
,,,,,檢舉原因_內容與主題無關_點擊,ReportReason_UnrelatedContent_clicked,,,,,,FALSE,FALSE
,,,,,檢舉原因_其他_點擊,ReportReason_Other_clicked,,,,,,FALSE,FALSE
,,,,,檢舉原因_取消檢舉_點擊,ReportReason_CancelReport_clicked,,,,,,FALSE,FALSE
,,,,,訊息.常壓訊息_刪除訊息_點擊,Message.LongPressMessage_DeleteMessage_clicked,,,,,,FALSE,FALSE
